time,SpO2,Heartbeat,Temperature
2024-03-07 01:06:41,100,86,36.65675471
2024-02-03 15:39:50,99,73,37.38320021
2024-02-14 15:02:28,99,61,36.98768495
2024-01-04 15:44:34,100,71,37.15541467
2024-02-13 05:33:51,95,70,36.76560401
2024-02-06 20:42:08,98,69,37.37149986
2024-01-04 06:19:53,96,85,37.42494601
2024-03-11 14:58:37,99,68,37.49817905
2024-01-02 10:33:24,96,80,37.33697041
2024-01-24 02:19:13,97,78,37.44185793
2024-02-18 03:17:56,95,71,37.32087337
2024-01-18 15:16:21,96,98,37.14024171
2024-02-05 08:50:45,95,84,36.1992261
2024-01-23 22:27:18,99,83,36.60270314
2024-03-12 20:06:51,97,82,36.29461255
2024-01-15 12:58:07,96,78,36.86494763
2024-01-03 16:13:24,96,86,36.71176476
2024-01-05 05:49:18,98,91,37.47567477
2024-02-18 15:13:30,98,69,36.62261642
2024-02-04 09:54:30,99,74,36.76862902
2024-01-24 23:45:06,99,75,37.28801156
2024-02-02 12:46:30,96,60,36.97253397
2024-01-27 05:58:23,99,65,37.3826607
2024-03-03 01:35:34,99,93,37.00078069
2024-01-17 03:55:35,99,64,36.36148422
2024-01-08 10:17:21,95,72,37.17312091
2024-01-13 23:44:07,98,80,36.03326643
2024-03-01 06:15:56,100,92,36.76142916
2024-01-12 14:46:45,98,68,37.00196772
2024-02-14 00:14:15,97,86,36.94050237
2024-02-22 12:45:07,95,70,37.09844898
2024-02-15 07:43:45,96,83,36.85693814
2024-02-14 17:45:02,95,64,36.35152784
2024-01-08 13:12:21,96,60,36.2158416
2024-01-20 19:57:31,97,60,36.15398624
2024-02-17 07:34:41,95,65,36.37907392
2024-02-09 16:41:01,100,89,36.95038597
2024-02-02 01:34:57,98,75,36.80641621
2024-01-29 15:50:44,100,93,36.06320202
2024-02-12 23:04:56,97,97,36.87182706
2024-02-24 17:22:59,95,92,37.15717286
2024-01-24 21:30:40,96,96,37.48187548
2024-01-10 23:30:04,95,95,36.04232013
2024-02-12 15:04:53,97,66,37.24076585
2024-03-02 21:33:40,96,74,36.37226876
2024-03-13 10:28:39,100,80,37.4000744
2024-02-13 16:53:50,98,76,36.6731051
2024-03-03 19:25:31,98,75,36.95676082
2024-02-23 12:23:39,97,83,36.73692462
2024-01-29 13:10:25,97,63,36.19494921
2024-02-11 12:54:29,99,85,37.4486887
2024-01-09 06:17:02,97,60,36.37939167
2024-01-06 17:43:51,97,85,36.89206461
2024-01-03 15:33:11,95,98,36.30324846
2024-02-20 11:11:40,98,88,37.49123678
2024-03-13 12:59:38,98,92,37.2610069
2024-03-07 06:50:39,100,64,37.07413656
2024-01-15 18:36:50,100,88,36.7224954
2024-03-04 14:54:02,100,76,36.35473954
2024-02-24 07:17:22,97,79,36.96736693
2024-03-05 02:02:34,100,97,36.48034323
2024-03-09 10:10:32,98,93,36.6442524
2024-03-07 18:13:28,100,97,36.68428438
2024-02-16 10:50:38,97,70,36.42669669
2024-03-11 16:39:31,95,99,36.31029824
2024-01-08 05:32:56,99,82,36.19061751
2024-02-15 21:25:42,99,94,36.66893688
2024-02-25 11:51:02,97,69,36.13505729
2024-01-30 23:48:41,98,67,37.19618782
2024-03-04 23:43:00,100,69,36.489539
2024-01-25 09:21:54,95,65,37.1441425
2024-02-11 16:27:36,95,96,36.16547289
2024-01-19 21:51:13,96,64,36.97596836
2024-01-20 12:37:42,98,78,37.32239344
2024-02-14 02:32:03,95,98,36.26744381
2024-02-06 23:16:10,99,67,36.51451048
2024-02-13 06:13:19,95,88,36.66831655
2024-02-27 22:42:59,96,86,36.12172292
2024-01-20 05:08:17,95,93,36.176893
2024-02-17 13:23:06,95,73,36.76844753
2024-01-15 03:24:43,99,65,36.75933114
2024-01-16 21:10:54,100,98,37.05950877
2024-01-24 00:13:25,99,91,36.22852766
2024-02-03 02:28:19,97,84,36.16714193
2024-03-15 23:55:32,95,63,37.11466483
2024-02-08 02:31:55,98,85,36.47178425
2024-03-01 17:19:51,96,70,37.49950972
2024-01-02 03:48:58,96,65,36.70656075
2024-03-13 05:57:36,97,62,37.47402433
2024-01-31 09:29:50,97,72,37.28767971
2024-02-08 11:09:32,100,66,36.46936192
2024-02-04 14:03:59,96,76,36.13202309
2024-01-21 15:34:56,98,87,37.0644801
2024-02-03 02:20:29,99,68,36.99390568
2024-01-05 09:30:11,95,94,36.18964355
2024-03-12 09:25:08,100,64,36.9767864
2024-01-06 21:26:24,100,97,36.95685653
2024-03-10 12:55:01,95,70,36.83209095
2024-01-03 15:34:17,97,81,36.80576123
2024-02-10 16:45:09,97,93,36.09661497
2024-02-29 10:16:08,96,81,36.38502091
2024-02-14 12:36:25,95,64,37.48780885
2024-01-31 17:17:35,97,74,36.83466306
2024-01-15 02:28:25,95,75,36.76322419
2024-03-04 19:54:30,98,66,36.08009232
2024-02-17 14:28:22,98,95,37.07821223
2024-01-23 03:51:46,100,90,37.19947214
2024-03-06 11:29:54,95,63,37.40460032
2024-01-14 23:26:28,96,99,36.5355585
2024-03-08 02:20:06,98,97,37.08278633
2024-02-05 18:20:02,100,89,37.10078959
2024-02-22 10:51:09,98,63,37.37926799
2024-01-23 22:29:52,95,62,37.01396224
2024-01-04 11:20:55,100,64,37.27233151
2024-03-02 12:59:34,100,64,36.78971059
2024-01-13 10:13:26,96,85,36.3213581
2024-03-01 19:24:52,100,92,37.37345606
2024-02-07 21:29:28,96,63,37.32285789
2024-01-06 09:21:15,96,91,36.37425722
2024-03-18 09:20:58,96,74,36.8494525
2024-01-08 14:10:20,98,86,36.8756694
2024-01-01 23:01:42,97,97,37.04431694
2024-03-13 17:03:53,95,89,36.51714495
2024-02-24 08:16:17,96,64,37.09340087
2024-02-10 18:04:57,95,96,37.18429514
2024-03-04 10:52:09,99,68,36.29850275
2024-02-05 17:52:33,95,87,37.12825849
2024-01-24 17:30:46,97,64,36.49100446
2024-01-01 01:13:50,98,96,37.00276251
2024-01-01 16:05:26,99,89,37.27289263
2024-03-04 21:25:20,96,80,36.30850823
2024-01-05 23:02:30,95,80,37.39112525
2024-03-09 17:20:49,96,97,36.55746937
2024-02-07 10:58:07,99,84,37.419275
2024-01-26 11:22:29,97,78,36.8631883
2024-01-07 11:21:52,99,72,37.40337769
2024-01-08 07:32:18,95,92,36.12297085
2024-01-11 14:41:00,95,60,37.1372207
2024-02-01 12:45:31,99,72,36.04733601
2024-01-08 04:55:44,96,71,36.65910539
2024-01-09 11:21:03,100,100,36.83846115
2024-02-22 12:28:49,95,66,37.25490116
2024-01-29 03:10:25,99,97,36.62579773
2024-03-14 10:59:55,97,75,36.33798679
2024-02-25 18:26:47,96,97,36.98398323
2024-01-30 21:37:43,97,67,37.30179327
2024-03-04 00:35:23,99,70,37.38932666
2024-02-06 06:07:45,97,73,36.85704207
2024-02-02 04:53:28,97,81,36.30372518
2024-02-21 23:49:44,96,89,36.67668462
2024-02-28 04:58:32,99,65,36.26496718
2024-02-16 16:18:51,97,67,37.28339739
2024-03-12 03:30:13,98,81,36.74788203
2024-02-26 01:46:00,100,67,36.67280249
2024-02-10 00:28:46,97,75,37.33173844
2024-02-02 11:24:08,97,98,36.50882702
2024-02-02 23:45:17,100,78,36.84408074
2024-01-30 06:49:51,95,88,37.33056287
2024-02-14 11:36:35,98,74,37.32771665
2024-01-18 08:53:44,95,69,36.17194575
2024-03-05 21:59:15,97,89,37.28661734
2024-01-01 03:41:11,95,65,36.47831456
2024-02-06 20:29:15,100,83,36.16250173
2024-02-15 04:09:32,98,92,37.48324597
2024-02-02 17:01:41,95,68,37.11378745
2024-01-03 18:50:44,95,75,36.91926632
2024-03-15 08:53:06,96,78,36.0850553
2024-03-15 15:25:28,97,98,36.95084686
2024-01-19 06:04:31,96,84,36.64115555
2024-03-17 03:24:43,97,97,36.16353762
2024-03-17 01:59:02,98,64,36.67872459
2024-01-17 20:46:27,98,85,36.57889982
2024-02-08 07:11:36,97,71,36.09169479
2024-02-12 04:55:18,96,77,36.52855703
2024-01-12 23:30:24,95,65,36.77008874
2024-02-27 16:41:25,100,66,36.06062754
2024-01-11 03:34:24,97,82,37.38487025
2024-01-19 05:46:38,100,60,37.05865244
2024-03-07 08:02:47,97,65,37.32912129
2024-02-27 16:40:01,100,88,36.36300021
2024-02-16 00:39:12,98,73,36.88568362
2024-03-11 01:30:32,100,62,37.06837282
2024-01-12 21:36:03,97,99,37.30509685
2024-02-03 01:42:57,98,92,36.91187746
2024-03-17 11:57:49,97,81,36.89142725
2024-02-13 23:39:20,99,93,36.80076358
2024-01-26 06:51:23,98,79,36.08684646
2024-02-13 12:57:21,96,96,37.14874439
2024-02-04 21:33:36,98,73,36.56730833
2024-03-12 23:40:18,100,82,36.89971201
2024-01-19 18:20:35,100,96,36.69359241
2024-02-18 07:48:26,99,94,36.61665627
2024-01-04 19:02:20,96,88,36.33413109
2024-02-25 01:56:12,98,82,37.03087873
2024-02-27 18:53:11,100,77,36.95102196
2024-02-01 06:25:42,96,86,37.08021898
2024-01-10 11:55:50,98,79,37.43233472
2024-03-08 01:27:21,95,71,37.21792782
2024-01-11 10:48:21,99,69,36.60026932
2024-02-29 09:00:18,98,60,37.07010349
2024-01-02 15:06:10,100,98,36.35830665
2024-01-03 07:38:59,95,86,36.97994756
2024-01-30 14:07:15,97,68,37.22137898
2024-02-10 18:36:56,95,64,36.32738126
2024-01-16 13:25:47,98,97,36.27219913
2024-03-17 18:49:52,97,81,37.00714945
2024-02-11 06:42:24,95,76,37.02183291
2024-01-19 17:56:35,100,99,36.37443518
2024-03-05 13:53:32,98,75,36.64035074
2024-03-17 21:04:21,100,66,37.1773434
2024-03-02 03:58:27,100,78,37.07337454
2024-02-03 11:27:54,97,96,36.02870786
2024-03-15 14:23:22,98,82,36.4032805
2024-01-10 05:45:34,96,83,36.84991854
2024-01-11 00:42:42,96,66,36.85314913
2024-01-04 14:05:10,96,66,36.30010506
2024-02-01 16:24:49,99,75,37.32046068
2024-01-09 08:10:08,98,62,36.76594585
2024-02-16 00:09:08,98,86,36.74640318
2024-01-30 11:40:13,100,66,36.43014801
2024-01-28 14:30:12,97,79,36.02692299
2024-01-07 02:04:31,98,75,37.12313044
2024-01-03 23:15:37,100,92,36.93725381
2024-02-12 06:35:17,99,76,36.10030031
2024-03-18 04:16:28,98,70,36.14433826
2024-02-17 06:31:56,96,91,36.6001656
2024-01-28 20:24:37,99,77,36.6609741
2024-01-24 08:16:23,100,92,36.71644032
2024-02-23 07:00:28,100,62,36.81220521
2024-01-24 06:59:02,99,88,36.09022693
2024-02-04 17:54:24,96,63,36.20145099
2024-02-29 20:53:34,96,95,36.57613638
2024-03-16 17:56:22,96,95,36.28974067
2024-01-19 03:14:32,100,88,36.59039619
2024-01-25 11:03:51,99,62,36.11050927
2024-02-02 03:43:14,97,75,36.9918678
2024-01-04 22:03:11,98,67,36.05648224
2024-02-12 03:44:49,99,94,37.22278826
2024-03-07 02:34:06,96,99,36.09081837
2024-02-17 09:28:37,98,81,36.1794446
2024-03-18 16:58:30,97,70,37.45970529
2024-01-01 00:20:20,96,81,37.26431385
2024-01-19 04:09:27,95,81,36.44969038
2024-01-15 12:43:59,98,99,36.08553102
2024-01-05 16:48:22,96,89,36.63458613
2024-02-07 16:58:09,99,81,36.03400317
2024-01-23 00:33:53,99,73,37.02966975
2024-01-12 15:59:41,95,72,37.17557642
2024-03-07 22:32:33,97,88,36.36369497
2024-03-11 05:55:31,98,62,37.02324788
2024-01-22 01:44:55,99,67,37.38585844
2024-01-21 12:40:17,100,91,36.73778569
2024-01-07 03:23:45,98,83,36.70866277
2024-02-09 00:05:01,96,86,36.68632635
2024-02-24 10:35:01,97,67,37.14004331
2024-02-19 18:42:10,98,60,36.08086982
2024-03-14 21:41:04,100,67,36.76225558
2024-01-04 10:18:39,96,81,36.39255929
2024-01-18 01:08:09,99,82,36.58415459
2024-02-07 19:23:34,99,93,37.32048127
2024-01-12 21:58:35,99,96,36.34266293
2024-02-19 23:15:39,100,81,36.04700142
2024-01-05 07:15:55,95,60,36.43061263
2024-01-13 22:47:28,99,97,36.55531724
2024-01-08 01:53:16,95,76,36.39417065
2024-01-02 12:55:53,95,70,36.54485837
2024-01-08 03:58:48,97,66,37.18289178
2024-01-09 00:55:12,95,65,37.12379465
2024-02-04 03:04:29,100,96,36.15945184
2024-02-02 20:41:49,100,74,37.16451595
2024-01-20 18:42:14,98,82,36.65061226
2024-01-04 03:35:53,99,99,36.19556632
2024-02-03 04:53:59,99,72,37.33680012
2024-01-16 12:48:37,97,74,36.99282449
2024-02-02 17:22:09,97,91,37.13572418
2024-01-28 16:43:40,95,91,36.38906711
2024-01-06 23:32:07,96,87,36.91338978
2024-03-16 15:04:39,95,72,36.81803674
2024-01-06 07:19:09,98,71,37.17133308
2024-01-16 22:32:41,99,81,36.6384382
2024-01-04 10:27:13,97,92,36.36414444
2024-01-31 23:03:52,100,76,36.39123309
2024-02-15 21:42:04,95,63,36.7274379
2024-03-11 08:49:00,99,68,36.81755725
2024-01-24 07:00:04,98,82,37.45975045
2024-02-22 02:03:15,97,61,37.43994074
2024-01-14 12:22:18,98,70,36.79819818
2024-02-19 11:47:36,96,100,36.33297487
2024-02-23 18:38:09,99,69,37.17523113
2024-02-15 00:32:25,99,99,37.09787797
2024-01-18 12:22:04,98,69,37.30187582
2024-03-01 18:53:31,96,71,36.93234632
2024-01-12 02:22:52,99,80,37.16666215
2024-02-20 10:00:43,97,74,36.36743087
2024-01-23 10:45:51,95,97,36.93833726
2024-02-19 08:47:49,95,67,36.9746336
2024-02-16 12:07:28,95,84,37.49263272
2024-03-14 22:16:17,100,90,36.92870543
2024-03-07 10:23:18,95,60,36.86084801
2024-02-18 16:58:06,97,87,36.73872158
2024-01-03 21:43:10,96,71,36.6189622
2024-01-09 09:09:34,98,60,37.38957204
2024-01-16 05:45:40,95,92,36.96137332
2024-02-24 22:46:49,100,85,37.36643217
2024-03-13 08:31:34,96,70,36.59325281
2024-02-28 15:51:49,99,65,36.35009133
2024-02-15 04:21:04,100,88,36.94316824
2024-02-09 21:09:03,100,60,36.51328338
2024-03-05 11:01:57,98,61,37.30303615
2024-02-20 10:16:21,100,63,36.34742321
2024-02-04 03:30:08,97,74,36.60905233
2024-01-18 20:13:27,97,74,36.09071822
2024-01-01 02:05:06,97,65,37.23649856
2024-03-01 17:14:19,95,87,37.00191886
2024-02-22 18:51:54,98,63,36.04905357
2024-03-06 17:35:16,100,76,37.49615644
2024-01-12 03:19:57,95,99,36.80427804
2024-01-02 05:37:36,96,93,36.58599766
2024-03-01 01:32:28,98,69,37.19242301
2024-01-10 14:45:02,95,68,37.13038667
2024-01-26 21:11:33,95,60,36.45009081
2024-01-30 21:01:09,100,74,37.29133634
2024-01-22 08:58:16,96,86,37.26126239
2024-03-09 15:31:40,98,61,36.27246558
2024-03-12 16:22:28,98,87,36.98780987
2024-01-11 04:55:27,98,88,36.92869988
2024-01-06 05:51:18,96,86,36.54999483
2024-03-10 19:27:39,97,75,36.1784016
2024-02-16 13:53:04,99,67,37.47730486
2024-03-17 18:45:35,100,80,36.38225125
2024-01-02 17:54:16,99,95,36.48807085
2024-01-28 11:42:12,100,96,37.3576097
2024-01-01 13:48:14,99,82,36.63448434
2024-02-07 14:20:18,100,76,36.91408586
2024-02-29 06:58:59,99,76,37.15558432
2024-01-25 06:50:42,98,78,36.52195563
2024-03-04 07:15:51,100,88,37.02633675
2024-03-16 15:45:03,97,98,36.93176996
2024-01-28 07:14:14,96,91,36.83736633
2024-01-22 22:10:36,100,94,36.49424224
2024-02-25 02:58:34,100,94,37.09788996
2024-03-08 19:03:47,98,79,36.60236051
2024-03-17 18:02:20,97,92,36.50367304
2024-01-26 20:09:49,95,90,37.37631027
2024-01-21 04:08:26,98,63,37.4935796
2024-03-12 00:15:32,99,88,37.38904429
2024-02-02 03:46:17,99,70,36.64469377
2024-01-24 16:46:46,95,99,36.1874661
2024-03-07 23:59:08,99,69,36.43068069
2024-02-25 06:21:05,96,71,36.10540554
2024-03-04 14:14:27,96,60,36.49533891
2024-03-11 04:52:13,95,91,37.10255222
2024-03-11 06:57:41,99,62,36.17403027
2024-01-04 07:07:03,95,69,37.11794865
2024-03-05 23:01:13,96,88,36.85931812
2024-01-25 08:01:03,100,97,37.15667146
2024-03-13 02:50:51,95,66,36.9043529
2024-02-20 21:59:11,99,77,37.22145219
2024-03-17 17:38:09,100,100,36.12225202
2024-02-27 21:16:53,99,93,37.1037175
2024-02-23 05:45:58,95,78,37.2983429
2024-02-07 21:32:06,95,97,36.10315159
2024-01-22 17:11:40,99,87,36.15070354
2024-01-04 18:10:21,100,95,37.34175448
2024-01-22 13:30:42,100,77,37.04379851
2024-03-01 19:00:54,100,82,37.46579052
2024-02-29 06:27:32,98,69,36.3713169
2024-01-04 13:43:38,97,81,36.0973327
2024-02-17 16:04:45,96,77,36.85992105
2024-02-27 14:54:51,97,98,36.57396673
2024-03-18 17:31:52,100,77,37.41087231
2024-03-05 01:33:46,95,77,36.75967938
2024-01-14 15:03:17,95,94,36.23408848
2024-02-16 23:15:07,97,71,36.39136783
2024-01-21 18:48:08,95,77,36.07385921
2024-03-13 16:52:08,96,86,36.25560806
2024-01-29 05:41:43,98,92,37.32429804
2024-01-15 08:09:55,100,74,36.49560196
2024-02-05 06:25:35,99,69,37.45283545
2024-01-19 08:35:24,95,71,37.02611433
2024-02-23 03:59:34,95,93,36.38709839
2024-03-05 15:06:51,99,91,37.26596914
2024-02-12 19:06:23,98,79,36.41564252
2024-01-14 05:00:33,95,81,36.04782783
2024-02-10 17:05:25,100,80,36.02178749
2024-02-07 12:08:24,97,83,36.36177677
2024-02-17 03:32:37,96,88,36.00743932
2024-02-04 17:25:09,97,80,36.52112572
2024-03-07 17:09:29,96,78,36.45006034
2024-03-01 15:39:11,100,98,36.57462543
2024-02-03 00:37:05,96,73,36.89302927
2024-02-18 03:36:56,99,90,37.10968462
2024-01-06 13:12:36,95,84,36.44320289
2024-03-17 03:58:11,100,75,37.21607812
2024-01-21 15:20:32,100,86,36.24790925
2024-02-03 20:43:31,95,93,36.12586803
2024-02-24 02:31:10,100,62,36.59748911
2024-02-08 01:20:22,98,79,36.30143727
2024-03-03 06:59:22,99,89,37.14175666
2024-02-21 22:18:10,97,77,37.11300684
2024-02-25 03:47:11,97,61,36.25799684
2024-03-02 10:20:55,98,88,37.00050625
2024-03-06 13:06:32,97,91,36.86034768
2024-01-19 07:04:35,100,89,36.28082535
2024-01-23 00:58:48,97,69,36.77755774
2024-02-16 06:15:44,95,93,36.54779448
2024-01-26 06:57:09,99,77,36.53777277
2024-02-21 00:14:29,98,75,37.09868231
2024-01-12 07:08:39,95,92,36.37875298
2024-02-09 06:57:25,95,98,36.98872206
2024-01-09 16:08:50,97,83,36.42343964
2024-02-17 16:46:54,97,67,37.42532373
2024-03-04 22:32:23,99,74,37.08545547
2024-02-22 18:47:34,100,100,37.00733704
2024-02-02 05:45:24,98,72,37.08064183
2024-01-31 21:53:44,100,70,36.16953733
2024-02-23 12:24:11,100,68,36.34295271
2024-02-24 17:10:02,96,61,36.83344469
2024-02-17 20:56:00,99,63,36.15952973
2024-01-28 10:39:32,97,62,36.26414724
2024-03-04 16:36:11,98,96,36.65536881
2024-03-09 15:49:55,99,71,37.01543778
2024-01-01 00:55:19,98,61,36.7267754
2024-01-01 06:16:11,99,99,37.45545751
2024-03-05 13:29:37,98,66,36.14259872
2024-02-29 18:31:35,97,77,36.51964289
2024-01-26 07:52:14,99,73,36.97306638
2024-03-12 14:28:46,99,69,37.24077149
2024-02-25 10:26:00,98,61,37.19045875
2024-01-23 17:38:02,96,100,36.83910144
2024-03-02 07:27:01,95,98,37.02243107
2024-02-12 22:30:15,100,93,36.94415023
2024-02-10 07:07:51,96,95,36.93720656
2024-03-05 14:26:26,95,66,36.64893615
2024-01-04 05:06:42,95,61,36.21986652
2024-02-15 07:50:12,97,87,37.09064468
2024-02-03 18:40:22,100,81,36.79776237
2024-02-20 14:04:16,95,87,37.47636345
2024-01-28 14:26:27,96,65,36.66425898
2024-02-19 02:32:40,98,93,37.11231957
2024-03-12 00:14:36,97,72,37.18969831
2024-02-03 05:49:07,100,97,36.45618226
2024-02-19 21:09:01,97,93,36.83704162
2024-02-03 08:24:25,95,94,37.00472267
2024-01-14 09:54:03,97,95,37.10501615
2024-03-01 12:08:05,95,83,37.17178808
2024-02-20 03:19:00,96,61,37.01882474
2024-02-18 17:41:37,100,92,36.81538554
2024-01-11 03:13:15,98,74,37.10783856
2024-01-10 12:55:56,99,90,37.40619732
2024-01-12 04:49:21,99,70,36.4463731
2024-01-17 00:42:36,98,100,36.59121536
2024-01-13 01:42:21,98,79,37.0659807
2024-01-16 20:56:19,100,87,36.94973828
2024-02-16 09:36:30,95,74,36.58864969
2024-03-15 23:50:51,99,85,37.11137494
2024-01-04 17:02:21,98,69,36.03685686
2024-01-27 06:16:50,96,66,36.08225164
2024-03-05 14:49:47,96,72,37.3873486
2024-03-04 14:01:04,96,94,36.58781045
2024-02-05 08:54:04,96,96,37.31270213
2024-03-08 10:25:31,97,67,37.27124443
2024-03-18 17:41:27,99,63,36.99403498
2024-02-18 21:54:56,97,98,36.17508595
2024-01-23 13:08:05,100,94,37.38308662
2024-03-01 21:41:19,100,66,37.24506198
2024-01-21 10:23:26,99,89,37.01961553
2024-02-02 02:08:33,98,97,36.38283457
2024-01-10 16:27:15,97,86,36.57689987
2024-03-17 03:01:26,98,79,36.58219005
2024-02-28 07:18:41,95,85,37.47580958
2024-01-17 23:37:39,95,63,36.34379753
2024-03-10 11:08:55,99,98,36.89690626
2024-01-08 06:40:15,96,75,36.46129388
2024-03-03 13:07:31,98,85,37.29550927
2024-02-05 23:45:24,97,76,37.27085847
2024-01-12 04:50:22,99,80,37.24431892
2024-02-21 22:02:49,100,66,36.8075008
2024-01-29 13:09:24,97,92,37.16461586
2024-01-21 14:42:46,100,88,36.95924969
2024-01-24 16:16:15,98,66,36.58964326
2024-03-06 10:33:48,99,97,36.64881893
2024-03-01 21:41:36,100,81,37.16223605
2024-03-17 23:22:57,100,96,36.96820843
2024-01-13 09:00:18,97,73,36.99779717
2024-01-23 01:10:22,96,84,36.0614051
2024-02-01 03:51:00,95,60,37.16568537
2024-02-02 07:03:56,100,97,36.73214764
2024-03-01 18:01:07,96,88,36.81537595
2024-02-05 15:02:13,97,100,37.26990058
2024-02-06 21:01:17,95,92,37.4923766
2024-03-01 19:46:42,97,85,37.49897154
2024-02-20 21:13:46,96,66,36.99912435
2024-02-25 03:15:34,98,92,37.2903786
2024-03-17 05:47:13,95,68,36.79816187
2024-02-11 15:41:13,95,84,36.40532646
2024-02-01 05:29:20,99,95,36.52417651
2024-02-14 20:15:28,95,97,36.9549123
2024-01-20 14:52:42,99,68,36.81938315
2024-01-26 11:09:57,98,70,36.42516904
2024-03-02 21:41:00,98,90,37.45790151
2024-02-26 07:33:05,95,66,36.57599615
2024-02-06 16:19:34,97,83,36.31369249
2024-01-28 22:43:00,97,88,36.56698792
2024-02-09 17:16:38,99,65,36.23983228
2024-02-06 02:02:10,96,88,36.38987138
2024-02-01 03:25:47,97,82,36.79161185
2024-02-10 07:35:56,97,60,37.02094654
2024-03-12 20:59:25,100,90,36.43806041
2024-01-27 05:32:59,99,78,36.64269703
2024-01-02 07:02:40,98,77,36.38419716
2024-01-31 19:45:25,100,74,36.76141051
2024-02-11 19:12:06,96,62,37.4952713
2024-02-10 19:43:32,98,67,36.98024343
2024-03-07 09:22:04,96,74,36.38733121
2024-02-23 22:13:28,98,95,36.24833957
2024-02-23 06:08:01,99,100,37.4727651
2024-01-22 18:07:55,99,88,37.06549486
2024-01-26 10:48:17,98,96,37.28750099
2024-01-20 22:44:29,97,96,36.88522391
2024-01-25 03:26:24,95,96,36.41826386
2024-01-09 11:43:58,97,61,37.33360124
2024-01-10 02:37:10,95,81,36.8109349
2024-01-26 20:17:41,99,71,37.40914678
2024-01-17 10:22:36,95,75,36.76526438
2024-01-01 04:35:27,100,82,36.52461481
2024-02-29 22:01:09,96,65,37.40915815
2024-01-26 21:36:35,98,89,37.47634672
2024-01-22 02:52:48,97,72,36.01201892
2024-01-17 09:10:56,98,88,36.3481392
2024-03-09 17:47:56,100,94,36.66506954
2024-01-18 00:46:53,96,87,37.24497675
2024-03-14 07:56:13,100,99,37.28532399
2024-01-13 19:00:32,99,65,36.7312937
2024-03-13 10:39:18,100,73,36.37503714
2024-03-10 02:56:09,100,100,36.07134843
2024-02-15 19:31:00,95,99,36.71150905
2024-02-08 12:25:55,99,98,36.613234
2024-02-26 02:19:14,97,86,36.70162794
2024-02-08 07:12:51,100,95,37.3070222
2024-02-29 21:43:19,97,60,37.02005876
2024-02-06 22:08:23,95,76,36.56268811
2024-03-06 18:44:00,95,74,37.17622691
2024-01-06 13:20:17,95,100,36.25677198
2024-02-27 23:59:43,99,74,36.76125311
2024-02-26 17:18:17,100,76,36.30894206
2024-01-21 06:10:23,98,71,36.71842773
2024-03-12 08:04:23,96,69,36.59345432
2024-03-13 11:25:04,98,87,37.22415609
2024-01-29 23:11:35,98,81,36.53866881
2024-03-02 07:44:10,96,71,37.12708982
